,dis_subtype,dis_type,end_date,insur_dam,iso,location,st_date,total_affected,total_dam,total_deaths
2011-0647,Riverine flood,Flood,16/07/2011,,IND,"Uttar pradesh, Uttarakhand",15/06/2011,,20000,50
2012-0015,Cold wave,Extreme temperature ,17/01/2012,,IND,"Karimnagar, Visakhapatnam, Guntur districts (Andhra Pradesh state)",15/01/2012,,,15
2012-0049,Avalanche,Mass movement (dry),23/02/2012,,IND,"Dawar, Sonamarg (Kashmir)",23/02/2012,,,16
2012-0179,Riverine flood,Flood,13/07/2012,,IND,"Lakhimpur, Darrang, Hailakandi, Sonitpur, Dhemaji, Udalguri, Nagaon, Barpeta, Nalbari, Jorhat, Chirang, Rangia, Majuli, Morigaon, Sadiya, Sibasagar, Goalpara, Bilasipara, Bongaigaon, Dhubri, Chirang, Dhakuakhana districts (Assam), Anjaw, Lohit, Changlang, Dibang Valley, East Siang, Upper Siang districts (Arunachal Pradesh)",26/06/2012,2200000,,120
2012-0322,Riverine flood,Flood,23/08/2012,,IND,"Rajasthan state (Jaipur city and rural, Dholpur, Dausa, Tonk, Jhunjhunu, Sikar, Hanumangarh, Bikaner)",21/08/2012,,,37
2012-0334,Riverine flood,Flood,09/08/2012,,IND,"Uttarakhand (Uttarkashi, Garhwal, Rudra Prayag, Chamoli), Uttar Pradesh (Moradabad), Himachal Pradesh (Palchan (Kullu)), Jammu and Kashmir (Kathua)",04/08/2012,1200,110000,30
2012-0354,Riverine flood,Flood,18/09/2012,,IND,"Rudraprayag, Bageshwarn districts (Uttarakhand state)",16/09/2012,200,20000,45
2012-0382,Riverine flood,Flood,23/09/2012,,IND,"Ballia, Bara Banki, Barpeta, Bhagalpur, Bongaigaon, Darbhanga, Darrang, Dhemaji, Dhuburi, Dibrugarh, East Siang, Faisabad, Goalpara, Golaghat, Jorhat, Kamrup, Katihar, Khagaria, Lakhimpur, Lohit, Marigaon, Murshidabad, Muzaffarpur, Nagaon, Nalbari, North Sikkim, Papum Pare, Patna, Sahibganj, Sibsagar, Siwan, Sonitpur, Supaul, Tinsukia, West Siang (Details: river Brahmaputra (Dhubri, Dibrugarh, Neamatighat, Tezpur, Guwahati, Goalpara), river Burhidihing (Chenimari, Chowrang), river Dhansiri (Numaligarh), river Subansiri (Badlighat), river Jiabharali (Jiabharali), river Ghaghra (Darauli, Elgin Bridge, Ayodhya, Turtipar), river Ganga (Patna (Gandhighat), Hathidat, Bhaglapur, Colgong/Kahalgaon, Sahibganj, Farakka), river Ghaghara (Gangpur),river Burhi Gandak (Khagaria), river Bagmati (Benidad), river Adhwara (Kamtaul), river Kosi (Kursela, Basua))",19/09/2012,2000000,98000,21
2012-0425,Tropical cyclone,Storm,08/11/2012,,IND,"Andhra Pradesh, Tamil Nadu states",04/11/2012,70000,,40
2012-0538,Cold wave,Extreme temperature ,20/01/2013,,IND,"Bihar, Haryana, Himachal Pradesh, Jammu and Kashmir, Punjab, Rajasthan, Uttar Pradesh",22/12/2012,,,249
2012-0584,Riverine flood,Flood,23/08/2012,,IND,Himachel Pradesh,21/08/2012,9460,16000,26
2013-0090,Convective storm,Storm,30/03/2013,,IND,Uttar Pradesh state,29/03/2013,,,9
2013-0138,Tropical cyclone,Storm,16/05/2013,,IND,Andhra Pradesh,16/05/2013,4,,8
2013-0140,Ground movement,Earthquake,01/05/2013,,IND,"Kishtwar,  Doda districts (Jammu and Kashmir state)",01/05/2013,59350,120000,3
2013-0192,Riverine flood,Flood,27/06/2013,500000,IND,"Uttarakhand, Himachal Pradesh, Uttar Pradesh, Bihar, Karnataka, Kerala, Gujarat, West Bengal",12/06/2013,504473,1100000,6054
2013-0208,Heat wave,Extreme temperature ,/06/2013,,IND,,/04/2013,,,557
2013-0260,Riverine flood,Flood,10/07/2013,,IND,"Sultanpur, Sitapur,  Raebareli, Barabanki, Faizabad, Gorakhpur, Basti, Kushinagar, Bahraich, Gonda, Shravasti (Uttar Pradesh state)",09/07/2013,500000,,174
2013-0282,--,Flood,15/07/2013,,IND,"Dhemaji, Tinsukia, Chirang, Nagaon, Golaghat, Jorhat, Kamrup, Karimganj, Lakhimpur, Morigaon,  Sibsaga districts (Assam province)",23/06/2013,2000000,,80
2013-0345,Riverine flood,Flood,27/08/2013,,IND,"Hopal, Hoshangabad, Seoni, Narsinghpur, Jabalpur (Mahya Pradesh); Uttar Prasdesh; Assam",22/08/2013,40000,,73
2013-0400,Riverine flood,Flood,26/10/2013,,IND,"Orissa, Andhra Pradesh, Bengale Occidental",21/10/2013,375000,260000,72
2013-0401,Tropical cyclone,Storm,14/10/2013,,IND,"Orissa, Andhra Pradesh, Jharkhand, Bihar, West Bengal, Chhattisgarh states",12/10/2013,13230000,633471,47
2013-0482,Convective storm,Storm,06/10/2013,,IND,"Bihar, Jharkhand states",05/10/2013,,,32
2013-0515,Tropical cyclone,Storm,22/11/2013,,IND,"Krishna, Guntur, East Godavari, West Godavari, Visakhapatnam distrcits (Andhra Pradesh) ",22/11/2013,,262000,10
2014-0047,Cold wave,Extreme temperature ,24/01/2014,,IND,Uttar Pradesh; Kashmir; Uttarakhand; Delhi,20/01/2014,,,24
2014-0106,Convective storm,Storm,12/03/2014,,IND,"Himalyan region of Kashmir and Jammu (Chenab valley), villages de Doda, Bhaderwah, Thathri, Gandoh, Bhallessa, villages du district Kishtwar, Kora Pani, Tangdhar in Kupwara district.",10/03/2014,9610,,17
2014-0182,Convective storm,Storm,31/05/2014,,IND,"New Delhi, Ghaziabad (Utar Pradesh), West Bengal.",30/05/2014,26,,15
2014-0218,Riverine flood,Flood,28/06/2014,,IND,Assam state,26/06/2014,18500,,27
2014-0268,Riverine flood,Flood,22/07/2014,,Ind,"Uttarakhand, Himachal Pradesh states",16/07/2014,,,26
2014-0270,Landslide,Landslide,30/07/2014,,IND,Malin village (Maharashtra state),30/07/2014,200,,151
2014-0313,Riverine flood,Flood,04/08/2014,,IND,Orissa state,03/08/2014,179000,,35
2014-0343,Riverine flood,Flood,/09/2014,150000,IND,Jammu region. almost all 10 districts affected,/09/2014,275000,16000000,298
2014-0391,Riverine flood,Flood,11/10/2014,,IND,"Goalpara, Kamrup, Boko districts (Assam state); Tura, Garo Hills (Meghalaya state)",24/09/2014,650000,163000,95
2014-0392,Tropical cyclone,Storm,12/10/2014,530000,IND,"Visakhapathnam city, Gangavaram (Coast of Andhra Pradesh); South Odisha; Chhattisgarh",12/10/2014,920000,7000000,45
2014-0408,Riverine flood,Flood,01/09/2014,,IND,"Uttarakhand state, Shravasti, Balrampur, Sitapur, Lakhimpur Kheri, Gonda, Barabanki, Faizabad and Azamgarh (Uttar Pradesh),Uttarakhand, Bihar, Assam.",16/08/2014,,,94
2014-0409,Riverine flood,Flood,16/08/2014,,IND,Odisha state,09/08/2014,3600000,100000,47
2014-0520,Cold wave,Extreme temperature ,09/12/2014,,IND,Muzaffarnagar (Uttar Pradesh),07/12/2014,,,16
2014-0523,Severe winter conditions,Extreme temperature ,18/12/2014,,IND,"Himachal Pradesh, Uttarakhand, Uttar Pradesh",17/12/2014,,,140
2014-0538,Convective storm,Storm,20/04/2014,,IND,,17/04/2014,,,27
2014-0551,Convective storm,Storm,07/03/2014,,IND,Hyderabad (Andhra Pradesh),06/03/2014,1928,,7
2015-0107,Flash flood,Flood,31/03/2015,,IND,Chadoora (Kashmir),20/03/2015,2907,38000,44
2015-0118,Convective storm,Storm,05/04/2015,,IND,Tripura state,04/04/2015,10000,3000,1
2015-0126,Convective storm,Storm,15/03/2015,,IND,"Rajsthan, Jammu and Kashmir, Uttarakhand",11/03/2015,,,17
2015-0144,Ground movement,Earthquake,25/04/2015,,IND,"Bihar, Uttar Pradesh, West BEngal, Siikim",25/04/2015,,,69
2015-0164,Convective storm,Storm,21/04/2015,,IND,"Purnia, Madhepura, Madhubani, Supaul, Sitamarhi districts (Bihar state)",21/04/2015,125100,158000,42
2015-0175,Ground movement,Earthquake,12/05/2015,,Ind,Bihar state,12/05/2015,,,20
2015-0189,Heat wave,Extreme temperature ,31/05/2015,,IND,"New Delhi; Telangana, Andhra Pradesh, Orissa states",20/05/2015,,,2248
2015-0207,Flash flood,Flood,21/05/2015,,IND,"Bhadrairuppu (Virudhunagar district, Tamil Nadu)",17/05/2015,200,,8
2015-0226,Landslide,Landslide,29/06/2015,,IND,"Barpeta, Sonitpur, Goalpara, Dhemaji, Lakhimpur, Tinsukia, Darrang, Nalbari, Jorhat, Kamrup, Baksa, Dibrugarh, Nagaon, Bongaigaon districts (Assam state)\n\n",02/06/2015,9000,,3
2015-0249,Riverine flood,Flood,20/06/2015,,IND,"Maharashtra; Amreli, Rajkot, Surat districts (Gujarat)",19/06/2015,9000,100000,81
2015-0253,Riverine flood,Flood,30/06/2015,,IND,"Mirik, Kalimpong, Darjeeling (Bengal state)",23/06/2015,1000,,40
2015-0317,Riverine flood,Flood,19/08/2015,,IND,"Manipur; Gujarat; West Bengal; Orissa; Rajasthan; Assam, Madhya Pradesh, Odisha",15/07/2015,13709887,,293
2015-0333,Riverine flood,Flood,13/07/2015,,IND,"Rajasthan, Uttar Pradesh, Jammu and Kashmir, Arunchal Pradesh, Uttarakhand, Punjab, Haryana, Himachal Pradesh",07/07/2015,,,25
2015-0374,--,Flood,19/08/2015,,IND,Assam,13/08/2015,18000,,5
2015-0406,--,Flood,30/08/2015,,IND,"Dhemaji, Kokrajhar, Bongaigaon, Sonitpur, Barpeta, Goalpara, Morigaon, Cachar, Lakhimpur, Jorhat, Tinsukia, Darrang, ?Baksa (old : Barpeta & Nalbari)?, Nalhari, ?Udalguri (old Darrang)?, Kamrup, Dibrugarh, Sivasagar (Assam)\n",28/08/2015,787000,,18
2015-0413,--,Flood,16/07/2015,,IND,"Arunachal Pradesh and Assam. Sonitpur, Lakhimpur,\nKokrajhar and Dhemaji districts",14/07/2015,85250,,
2015-0450,Convective storm,Storm,06/09/2015,,IND,"Deogarh, Nabarangpur, Malkangiri (Odisha, Orissa); Andhra Pradesh",06/09/2015,,,32
2015-0476,Ground movement,Earthquake,26/10/2015,,IND,"Delhi, Punjab; Reasi, Anantnag, Baramulla, Bandipora, Kulgam, Poonch (Jammu and Kashmir Valley)",26/10/2015,10,,
2015-0504,--,Flood,04/12/2015,,IND,"Chennai city, Cuddalore district, Nagapattinam, Kanjipuram district, Tuttucurin district, Villupuram distritc Pondicherry (Tamil Nadu); Chittor, East Prakasam, Kudappa, Nellore (Andhra Pradesh); Nellore, Cuddapah, Chittoor, Prakasam districts (Andhras Pradesh)",08/11/2015,1801000,3000000,325
1999-0590,Extra-tropical storm,Storm,05/12/1999,,LVA,,04/12/1999,,500,6
2001-0713,Cold wave,Extreme temperature ,/10/2001,,LVA,Riga region,/10/2001,,,21
2003-0022,Cold wave,Extreme temperature ,/01/2003,,LVA,Riga,/01/2003,,,15
2005-0011,Extra-tropical storm,Storm,09/01/2005,40000,LVA,,08/01/2005,,325000,
2005-0069,--,Storm,09/01/2005,,LVA,,09/01/2005,,,
2005-0713,Severe winter conditions,Extreme temperature ,/01/2006,,LVA,,/01/2006,,,40
2012-0019,Cold wave,Extreme temperature ,/02/2012,,LVA,,/02/2012,,,10
1994-0344,Tropical cyclone,Storm,/05/1994,,BTN,,/05/1994,65000,,17
1994-0504,Flash flood,Flood,06/10/1994,,BTN,Punakha,06/10/1994,600,,22
1999-0117,Forest fire,Wildfire,/01/1999,,BTN,,/01/1999,,3500,
2000-0484,Riverine flood,Flood,30/08/2000,,BTN,"Pasakha, Phuentsholing, Chukha",02/08/2000,1000,,200
2004-0298,Riverine flood,Flood,/07/2004,,BTN,,/07/2004,,,
2009-0204,Tropical cyclone,Storm,26/05/2009,,BTN,,25/05/2009,,,12
2009-0406,Ground movement,Earthquake,21/09/2009,,BTN,"Monggar, Trashigang",21/09/2009,12,,11
2011-0351,Ground movement,Earthquake,18/09/2011,,BTN,Paro-Thimphu region,18/09/2011,20016,,1
1902-0007,Ash fall,Volcanic activity,07/05/1902,,VCT,,07/05/1902,,,1565
1955-0013,Tropical cyclone,Storm,23/09/1955,,VCT,Grenadines,23/09/1955,,,122
1967-0058,Tropical cyclone,Storm,08/09/1967,,VCT,,08/09/1967,,4500,2
1971-0056,Ash fall,Volcanic activity,17/10/1971,,VCT,,17/10/1971,2000,,
1977-0208,--,Flood,18/10/1977,,VCT,,18/10/1977,,,
1979-0035,Ash fall,Volcanic activity,13/04/1979,,VCT,Northern,13/04/1979,20000,,2
1980-0077,Tropical cyclone,Storm,11/08/1980,,VCT,,31/07/1980,20500,16300,
1986-0111,--,Flood,08/09/1986,,VCT,"North Leeward district, aroudn Chateaubelair",08/09/1986,152,,
1987-0160,Tropical cyclone,Storm,21/09/1987,,VCT,,21/09/1987,208,5300,
1987-0323,--,Flood,/09/1987,,VCT,,/09/1987,1000,5000,
1992-0164,Coastal flood,Flood,29/11/1992,,VCT,Coastal areas,29/11/1992,200,,3
1999-0614,Tropical cyclone,Storm,19/11/1999,,VCT,,17/11/1999,100,,
2002-0653,Tropical cyclone,Storm,24/09/2002,,VCT,,24/09/2002,,11000,4
2004-0462,Tropical cyclone,Storm,08/09/2004,,VCT,,08/09/2004,1004,5000,
2005-0382,Tropical cyclone,Storm,14/07/2005,,VCT,"Cannau, Union",14/07/2005,530,,
2010-0571,Tropical cyclone,Storm,29/10/2010,,VCT,,29/10/2010,6100,25000,
2011-0179,Riverine flood,Flood,12/04/2011,,VCT,Georgetown,11/04/2011,275,,
2013-0531,Riverine flood,Flood,25/12/2013,,VCT,"Pembroke, Vermont, Buccament Bay, South Rivers, Byera, Spring Village, Rose Bank and North Windward - Sandy Bay, Megum, Orange Hill, London, Kingstown",23/12/2013,17422,108000,12
1953-0019,Tropical cyclone,Storm,26/09/1953,,VNM,Southern coast,26/09/1953,,,1000
1956-0050,Tropical cyclone,Storm,/11/1956,,VNM,,/11/1956,,,56
1964-0063,Tropical cyclone,Storm,/11/1964,,VNM,China sea coast,/09/1964,700000,50000,7000
1964-0102,--,Flood,/12/1964,,VNM,,/12/1964,,,400
1966-0070,Riverine flood,Flood,20/09/1966,,VNM,Near Cambodia border,20/09/1966,195902,10000,31
1970-0059,--,Flood,26/10/1970,,VNM,North,26/10/1970,204000,,237
1971-0029,Tropical cyclone,Storm,01/05/1971,,VNM,Quang Ngai province,01/05/1971,50000,,23
1971-0057,Tropical cyclone,Storm,23/10/1971,,VNM,North,23/10/1971,,,89
1973-0047,Tropical cyclone,Storm,10/11/1973,,VNM,Binh Dinh,10/11/1973,150000,,100
1977-0088,Tropical cyclone,Storm,22/07/1977,,VNM,Haiphong,22/07/1977,1000,,
1978-0105,Riverine flood,Flood,/08/1978,,VNM,Mekong Delta,/08/1978,4079000,,74
1980-0068,Tropical cyclone,Storm,23/07/1980,,VNM,"Ha Bac, Hai Phong, Hai Hung, Guang Ninh provinces",23/07/1980,6624710,,132
1980-0090,Tropical cyclone,Storm,15/09/1980,,VNM,"Thanh Hoa, Nghe Tinh, Ha Ham Ninh provinces",15/09/1980,9027174,,176
1980-0106,--,Flood,/11/1980,,VNM,"Quang Nam Da Nang, Nghia Binh, Binh Tri Thien, Phu Khanh  provinces",/11/1980,628000,,94
1982-0112,Tropical cyclone,Storm,18/10/1982,,VNM,"Nghe Tinh, Thanh Hoa Provinces",18/10/1982,1300290,,70
1983-0077,Convective storm,Storm,/05/1983,,VNM,Central,/05/1983,,,76
1983-0125,Tropical cyclone,Storm,/09/1983,,VNM,,/09/1983,845324,,578
1983-0452,Tropical cyclone,Storm,05/10/1983,,VNM,"Ha Nam Ninh, Ha Son Binh, Thai Binh, Nai Hung, Thanh Hoa, Ha Bac, Hanoi, Vinh Phu, Nghe Tinh provinces",05/10/1983,336544,,80
1984-0035,Tropical cyclone,Storm,15/04/1984,,VNM,100 km East from Hanoi,15/04/1984,1094,,21
1984-0090,--,Flood,/10/1984,,VNM,Central,/10/1984,38000,,33
1984-0103,Tropical cyclone,Storm,/11/1984,,VNM,", Nghe Tinh, Nghia Binh, Thanh Hoa, Ha Son Binh, Ha Nam Ninh, Hanoi, Quang Nam, Da Nag Province",/11/1984,650705,,134
1985-0106,Riverine flood,Flood,07/09/1985,,VNM,"Ha Nam Ninh, Thanh Hoa, Hai Hung, Ha Bac",07/09/1985,2800000,,93
1985-0114,Tropical cyclone,Storm,23/10/1985,,VNM,"Binh Tri Thien, Nghe Tinh provinces",23/10/1985,450257,,798
1986-0109,Tropical cyclone,Storm,06/09/1986,,VNM,"Ha Nam Ninh, Thai Binh, Hason Binh, Haiphong, Quang Ninh provinces",06/09/1986,2502502,,435
1986-0139,Riverine flood,Flood,03/12/1986,,VNM,Central,03/12/1986,,,165
1987-0200,Tropical cyclone,Storm,18/11/1987,,VNM,"Nghia Binh, Phu Khahu Provinces",18/11/1987,937011,,101
1987-0363,--,Storm,/12/1987,,VNM,,/12/1987,,,22
1987-9029,Drought,Drought,//1987,,VNM,Northern Provinces,//1987,,,
1988-0460,Tropical cyclone,Storm,10/10/1988,,VNM,Nghe Tinh,10/10/1988,600000,,137
1988-0503,Tropical cyclone,Storm,06/11/1988,,VNM,"Dong Nai, Phu Khanh, Thuan Ha provinces",06/11/1988,720000,,20
1989-0104,Tropical cyclone,Storm,24/07/1989,,VNM,Thanh Hoa province,24/07/1989,1445491,,104
1989-0128,Tropical cyclone,Storm,/10/1989,,VNM,"Nghe Tinh, Binh Tri Thien provinces",/10/1989,4635762,,104
1989-0178,Tropical cyclone,Storm,25/05/1989,,VNM,Da Nang city (Quang Nam Danang province),25/05/1989,336106,21000,751
1990-0048,Riverine flood,Flood,08/07/1990,,VNM,"Son La, Hoang Lien Son, Ha Tuyen, Binh Dinh, Dac Lac, Lai Chau, Muong Lay provinces",20/06/1990,10200,725,82
1990-0069,Tropical cyclone,Storm,/08/1990,,VNM,"Ky Anh, Quang Trach, Quang Binh district + Son (Ha Nam Ninh province), Tra Ling (Thai Binh province)",/08/1990,500108,,19
1990-0418,Tropical cyclone,Storm,15/11/1990,,VNM,Nghe Tinh,15/11/1990,,,68
1990-0608,Tropical cyclone,Storm,23/10/1990,,VNM,Central Eastern Coast,23/10/1990,2000,,15
1991-0210,Tropical cyclone,Storm,17/08/1991,,VNM,"Quanq Bin, Ha Tinh, Than Hoa, Nghe provinces",17/08/1991,455921,9500,17
1991-0229,Riverine flood,Flood,/08/1991,,VNM,"An Giang, Long An, Dong Thap, Kien Giang provinces",/08/1991,270600,5000,21
1991-0315,Riverine flood,Flood,31/07/1991,,VNM,"Son La, Lai Chau provinces",28/07/1991,4014,3200,38
1991-0444,--,Storm,28/12/1991,,VNM,"Quang Ngai, Quang Nam-Da, Thua Thien-Hue provinces",28/12/1991,10200,1000,251
1991-0538,Riverine flood,Flood,25/09/1991,,VNM,"An Giang, Dong Thap, Long An, Tien Giang, Kien Giang provinces (Mekong Delta)",19/09/1991,21000,38500,136
1991-0711,--,Storm,15/03/1991,,VNM,Khanh Hoa,15/03/1991,10708,,8
1991-0713,Tropical cyclone,Storm,13/07/1991,,VNM,Quang Ninh Hai Phong,13/07/1991,776,,21
1992-0061,Tropical cyclone,Storm,29/06/1992,,VNM,"Haiphong, Quang Ninh provinces",29/06/1992,47186,400,14
1992-0143,Tropical cyclone,Storm,23/10/1992,,VNM,Between Thua Thien Hue and Khanh Hoa provinces,23/10/1992,32172,18000,17
1992-0144,Riverine flood,Flood,09/10/1992,,VNM,"Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien-Hue, Quang Nam-Da Nang provinces",05/10/1992,51698,47700,55
1992-0145,Coastal flood,Flood,31/10/1992,,VNM,"Quang Binh, Quang Tri provinces",28/10/1992,58000,,1
1992-0313,Avalanche,Landslide,25/07/1992,,VNM,Ha Tuyen (Cao Bang province),25/07/1992,38000,,200
1993-0088,Tropical cyclone,Storm,23/11/1993,,VNM,"Phu Yen, Khanh Hoa, Binh Dinh, Dal Lac provinces",23/11/1993,11506,15000,130
1993-0133,Convective storm,Storm,16/03/1993,,VNM,Tuyen Quang province,16/03/1993,2016,,3
1993-0213,Flash flood,Flood,12/10/1993,,VNM,"Phu Yen, Lam Dong, Quang Tri, Da Nang, Khanh Hoa, Binh Dinh, Darlac and Binh Thuan provinces",02/10/1993,15000,10000,64
1993-0231,Tropical cyclone,Storm,08/12/1993,,VNM,"Ninh Hai, Cam Ranh districts (Khanh Hoa province)",08/12/1993,25235,50000,73
1994-0187,Landslide,Landslide,31/07/1994,,VNM,Lai Chau province,15/07/1994,1034,2300,21
1994-0341,Riverine flood,Flood,18/12/1994,,VNM,"Dong Thap, An Giang, Long An, Tien Giang, Kien Giang, Can Tho, Nghe An, Thanh Hoa provinces",04/09/1994,382000,206000,310
1994-0658,Tropical cyclone,Storm,17/09/1994,,VNM,"Thanh Hoa, Ninh Binh, Nam Ha, Ha Tay",17/09/1994,11000,45000,30
1995-0236,Riverine flood,Flood,19/10/1995,,VNM,"Quang Binh, Quang Tri, Kegalle, Da Nang, Dong Thap, Dong Thap, Kien Gang, An Giang, Tien Giang, Vinh Long, Can Tho provinces",21/09/1995,400000,86000,253
1995-0274,Tropical cyclone,Storm,01/11/1995,,VNM,"Quang Ngai, Binh Dinh, Quang Nam-Danang, Quang Tri, Quang Binh",01/11/1995,23051,21200,16
1996-0110,Tropical cyclone,Storm,24/07/1996,,VNM,"Thai Binh, Nam Ha, Ninh Binh, Thanh Hoa, Hoa Binh",24/07/1996,387091,362000,585
1996-0202,Tropical cyclone,Storm,10/09/1996,,VNM,,09/09/1996,,20,1
1996-0227,Tropical cyclone,Storm,22/09/1996,,VNM,"Nghe An, Ha Tinh provinces",21/09/1996,280000,11000,9
1996-0248,Riverine flood,Flood,13/11/1996,,VNM,"An Giang, Dong Thap, Tay Minh,  Long An, Tien Giang, Kien Giang, Can Tho, Vinh Long provinces",01/10/1996,375000,138000,162
1996-0447,--,Flood,19/09/1996,,VNM,"Thua Thien-Hue, Quang Nam-Da Nang, Quang Tri, Quang Ngai, Binh Dinh, Kon Tum",14/09/1996,,13400,60
1996-0500,Tropical cyclone,Storm,26/08/1996,,VNM,"Thanh Hoa, Golfe du Tonkin",14/08/1996,,227000,194
1997-0186,Tropical cyclone,Storm,27/08/1997,,VNM,,22/08/1997,,5000,
1997-0267,Tropical cyclone,Storm,04/11/1997,5000,VNM,"Ca Mau, Soc Trang, Ben Tre, Tien Giang, Ba Ria, Binh Thuan, Tra Vinh, Bac Lieu, Dong Thap, Ho Chi Minh City, Can Tho, Kien Giang,  Binh Dinh Provinces",02/11/1997,1081127,470000,3682
1997-0358,Tropical cyclone,Storm,29/09/1997,,VNM,"Danang, Quang Ngai, Quang Nam-Da, Nghe An",20/09/1997,50,5000,10
1997-9525,Drought,Drought,/06/1998,,VNM,"Quang Tri, Quang Binh, Quang Ngai, Quang Nam, Ha Tinh, Nghe An, Binh Dinh, Gia Lai, Kon Tun provinces",/12/1997,3000000,407000,
1998-0159,Convective storm,Storm,08/05/1998,,VNM,Thanh Hoa province,08/05/1998,500,,42
1998-0316,Riverine flood,Flood,23/10/1998,,VNM,"Khan Hoa, Binh Dinh, Quang Ngai, Phu Yen, Ninh Thuan",16/10/1998,32505,13700,45
1998-0374,Tropical cyclone,Storm,29/11/1998,,VNM,"Quang Binh, Khanh Hoa, Quang Tri, Thua Thien Hue, Quang Nam, Da Nang, Guang Ngai, Bin Dinh, Phu Yen, Ninh Thuan, Binh Thuan, Dac Lac, Kon Tum, Lam Dong, Giai Lai provinces",13/11/1998,2440092,93200,283
1998-0434,Tropical cyclone,Storm,16/12/1998,,VNM,"Khanh Hoa, Phu Yen, Quang Nam, Ninh Thuan, Quang Ngai, Ben Tre, Bihn Thuan, Ca Mau provinces",16/12/1998,84645,15000,43
1999-0244,Flash flood,Flood,05/08/1999,,VNM,"Binh Thuan, Lam Dong, Dac Lac and Dong Nai ",24/07/1999,115175,19500,40
1999-0428,Coastal flood,Flood,09/11/1999,,VNM,"Da Nang, Quang Nam, Thanh Hoa, Nghe An, Ha Tinh, Quang Binh, Quang Tri, Thua Thien Hue, Quang Ngai, Binh Dinh",25/10/1999,3504412,237000,622
1999-0574,Riverine flood,Flood,10/12/1999,,VNM,"Thua Thien Hue, Khanh Hoa, Phu Yen, Binh Dinh, Quang Ngai, Quang Nam, Danang and Khanh Hoa.",02/12/1999,2163694,53000,127
1999-0637,Convective storm,Storm,06/06/1999,,VNM,Baie d\'Halong - Quang Ninh Province,06/06/1999,,,10
1999-9084,Drought,Drought,//1999,,VNM,Central - North regions,/01/1999,1400000,,
2000-0361,--,Storm,12/06/2000,,VNM,"Binh Hoa, Giao Ha communes (Giao Thuy district, Nam Dinh province)",12/06/2000,129,,3
2000-0408,Riverine flood,Flood,/11/2000,,VNM,"Lon An, Dong Thap, An Giang, Kien Giang, Can Tho, Vinh Long, Tien Gang, Can Tho provinces (Delta Mekong region)",/07/2000,5000004,250000,460
2000-0439,Landslide,Landslide,22/07/2000,,VNM,"Ban Sai (Sa Pa district, Lao Cai province)",22/07/2000,22,,33
2000-0448,--,Storm,10/07/2000,,VNM,Can Tho province,10/07/2000,2005,,
2000-0518,Tropical cyclone,Storm,20/08/2000,,VNM,"Quang Binh, Quang tri, Thua Bien-Hue, Quang Nam, Quang Ngai, Bin Dinh, Da Nang  provinces + Danang, Hu? cities",20/08/2000,4,5000,15
2000-0540,--,Storm,24/08/2000,,VNM,"My tho, Go Gong (Tien Gang province)",24/08/2000,5730,,
2000-0541,--,Storm,24/08/2000,,VNM,Rach Gia (Kien Giang province),24/08/2000,503,35,
2000-0542,Convective storm,Storm,24/08/2000,,VNM,"Khanh Binh Tay commune (Tran Van Thoi district, Ca Mau province)",24/08/2000,134,,
2000-0582,Tropical cyclone,Storm,10/09/2000,,VNM,"Thach Ha, Cam Xuyen, Ky Anh districts (Ha Tinh province)",10/09/2000,6029,21000,5
2000-0680,Landslide,Landslide,03/10/2000,,VNM,Sin Ho District (Lai Chau province),03/10/2000,17,,40
2000-0748,Riverine flood,Flood,26/11/2000,,VNM,"Quang Nam, Khanh Hoa, Phu Yen, Ninh Thuan, Binh Thuan, Quang Ngai, Binh Binh, Quang Tri, Thua Thien-Hue provinces",18/11/2000,25003,15000,36
2001-0318,Tropical cyclone,Storm,04/07/2001,,VNM,"Thai Nguyen, Tuyen Quang, Vinh Phuc provinces",04/07/2001,117453,25000,30
2001-0361,--,Flood,30/06/2001,,VNM,"Tien Yen, Dong Trieu, Hoanh Bo districts (Quang Ninh province)",30/06/2001,175,,9
2001-0436,Tropical cyclone,Storm,11/08/2001,,VNM,"Ha Tinh, Nghe An, Quang Binh, Thanh Hoa provinces",11/08/2001,10003,3200,3
2001-0492,Riverine flood,Flood,19/11/2001,,VNM,"Long An, Dong Thap, An Giang, Can Tho, Kien Tho, Kien Giang, Tien Giang, Vinh Long, Soc Trang, Tra Vinh, Ben Tre provinces",15/08/2001,1570270,84000,310
2001-0587,Flash flood,Flood,24/10/2001,,VNM,"Quang Nam, Quang Ngai, Ha Tinh, Nghe An, Quang Tri, Phu Yen provinces",20/10/2001,35006,4700,20
2001-0624,Tropical cyclone,Storm,12/11/2001,,VNM,"Phu Yen, Binh Dinh, Quang Ngai, Quang Tri provinces",12/11/2001,73183,55000,20
2001-0654,Coastal flood,Flood,04/11/2001,,VNM,Thu Duc district,04/11/2001,3000,,
2002-0197,Forest fire,Wildfire,12/04/2002,,VNM,"U Minh Thuong National Park (Kien Jiang province), U Minh Ha (Ca Mau province)",24/03/2002,,,
2002-0470,Riverine flood,Flood,06/08/2002,,VNM,"Lai Chau, Lao Cai, Ha Giang, Tuyen Quang, Bac Can, Son La, Lam Dong  provinces",31/07/2002,2000,2200,10
